name,v_nom,x,y,wkt_srid_4326,frequency,ref,operator,osm_name,voltage,typ
220_220kV,220.0,8.6593729029,51.9996101319,SRID=4326;POINT(8.65937290290079 51.9996101318907),50,,TenneT,Umspannwerk Bechterdissen,380000;220000;110000,substation
231_220kV,220.0,7.95805402329,47.5954722641,SRID=4326;POINT(7.95805402328778 47.5954722640613),50,,Schluchseewerk AG,Lastverteilung/Schaltanlage Kühmoos,380000;220000,substation
232_220kV,220.0,10.0837512707,48.2688675153,SRID=4326;POINT(10.0837512706734 48.268867515302),50,Station Nr. 625,LEW,Vöhringen LEW,380000;220000;110000,substation
233_220kV,220.0,9.88551509757,48.3040743585,SRID=4326;POINT(9.88551509756969 48.3040743584705),50,,EnBW,Umspannwerk Dellmensingen,380000;220000;110000,substation
236_220kV,220.0,9.19675652645,48.912963438,SRID=4326;POINT(9.19675652645089 48.9129634380259),50,,EnBW,Umspannwerk Hoheneck EnBW,220000;110000,substation
247_220kV,220.0,10.3633842323,47.7383368093,SRID=4326;POINT(10.363384232266 47.7383368092793),50,,Amprion,Schaltanlage Leupolz,380000;220000,substation
248_220kV,220.0,7.46150025902,51.6146143079,SRID=4326;POINT(7.46150025901999 51.6146143079042),,,Trianel,Trianel Kraftwerk Lünen,,generator
250_220kV,220.0,7.7155434195,51.6736430745,SRID=4326;POINT(7.71554341949648 51.6736430744508),,,,Gersteinwerk Block F,,generator
251_220kV,220.0,7.7145945335,51.6730996381,SRID=4326;POINT(7.71459453349968 51.6730996381138),,,,Gersteinwerk Block G,,generator
252_220kV,220.0,7.71270093431,51.6726636622,SRID=4326;POINT(7.71270093431027 51.672663662233),,,,Gersteinwerk Block I,,generator
261_220kV,220.0,9.04543496799,48.9029620138,SRID=4326;POINT(9.0454349679866 48.9029620137561),50,,EnBW Transportnetze AG,380kV-Umspannwerk Pulverdingen,380000;220000;110000,substation
263_220kV,220.0,9.81091689215,47.1426452967,SRID=4326;POINT(9.81091689214732 47.142645296653),,,Vorarlberger Illwerke AG,Umspannwerk Bürs,380000;220000,substation
264_220kV,220.0,9.42551238607,48.0643507981,SRID=4326;POINT(9.42551238607291 48.0643507981263),,,EnBW,Umspannwerk Herbertingen,380000;220000;110000,substation
267_220kV,220.0,6.8018236571,51.1247880606,SRID=4326;POINT(6.8018236570969 51.1247880606241),50,,RWE,Station Sankt Peter 220 kV,220000;110000,substation
272_220kV,220.0,9.31819523639,54.716049409,SRID=4326;POINT(9.31819523638713 54.7160494089748),50,FLEN,TenneT,Flensburg,380000;220000;110000;20000,substation
279_220kV,220.0,12.8139099117,50.8579185114,SRID=4326;POINT(12.8139099116529 50.8579185114397),50,ROE,50Hertz,Umspannwerk Röhrsdorf,380000;220000;110000,substation
281_220kV,220.0,12.0449825162,50.7812567341,SRID=4326;POINT(12.0449825161601 50.7812567340735),,,50Hertz,Umspannwerk Weida,380000;220000;110000,substation
282_220kV,220.0,12.5182220968,51.1570725851,SRID=4326;POINT(12.5182220968156 51.1570725850832),50,,50Hertz Transmission,Eula,380000;220000;110000,substation
292_220kV,220.0,11.6441811001,51.9085128734,SRID=4326;POINT(11.6441811001256 51.908512873438),50,MD 38,50Hertz,Umspannwerk Förderstedt,220000;110000,substation
303_220kV,220.0,9.38765125749,51.6407335256,SRID=4326;POINT(9.38765125748855 51.640733525594),,,,Umspannanlage Würgassen,380000;220000;110000,substation
307_220kV,220.0,9.15135394991,49.1433834119,SRID=4326;POINT(9.15135394990856 49.1433834119236),,,,380-kV-Umspannwerk Großgartach,380000;220000;110000,substation
308_220kV,220.0,10.1878339996,49.9812190408,SRID=4326;POINT(10.1878339995516 49.981219040845),,GR,,Grafenrheinfeld,380000,substation
312_220kV,220.0,10.1174866947,48.8971053361,SRID=4326;POINT(10.1174866946797 48.8971053361382),50,,EnBW,Umspannwerk Goldshöfe,380000;220000;110000,substation
